wl_seat, v9
wl_data_device_manager, v3
wl_compositor, v6
wl_subcompositor, v1
wl_shm, v1
wp_viewporter, v1
wp_tearing_control_manager_v1, v1
wp_fractional_scale_manager_v1, v1
zxdg_output_manager_v1, v3
wp_cursor_shape_manager_v1, v1
zwp_idle_inhibit_manager_v1, v1
zwp_relative_pointer_manager_v1, v1
zxdg_decoration_manager_v1, v1
wp_alpha_modifier_v1, v1
zwlr_gamma_control_manager_v1, v1
ext_foreign_toplevel_list_v1, v1
zwp_pointer_gestures_v1, v3
zwlr_foreign_toplevel_manager_v1, v3
zwp_keyboard_shortcuts_inhibit_manager_v1, v1
zwp_text_input_manager_v1, v1
zwp_text_input_manager_v3, v1
zwp_pointer_constraints_v1, v1
zwlr_output_power_manager_v1, v1
xdg_activation_v1, v1
ext_idle_notifier_v1, v2
hyprland_lock_notifier_v1, v1
ext_session_lock_manager_v1, v1
zwp_input_method_manager_v2, v1
zwp_virtual_keyboard_manager_v1, v1
zwlr_virtual_pointer_manager_v1, v2
zwlr_output_manager_v1, v4
org_kde_kwin_server_decoration_manager, v1
hyprland_focus_grab_manager_v1, v1
zwp_tablet_manager_v2, v1
zwlr_layer_shell_v1, v5
wp_presentation, v2
xdg_wm_base, v7
zwlr_data_control_manager_v1, v2
zwp_primary_selection_device_manager_v1, v1
xwayland_shell_v1, v1
zwlr_screencopy_manager_v1, v3
hyprland_toplevel_export_manager_v1, v2
hyprland_toplevel_mapping_manager_v1, v1
hyprland_global_shortcuts_manager_v1, v1
xdg_wm_dialog_v1, v1
wp_single_pixel_buffer_manager_v1, v1
wp_security_context_manager_v1, v1
hyprland_ctm_control_manager_v1, v2
hyprland_surface_manager_v1, v2
wp_content_type_manager_v1, v1
xdg_toplevel_tag_manager_v1, v1
xdg_system_bell_v1, v1
ext_workspace_manager_v1, v1
ext_data_control_manager_v1, v1
wp_pointer_warp_v1, v1
wp_color_manager_v1, v1
wp_drm_lease_device_v1, v1
wp_linux_drm_syncobj_manager_v1, v1
wl_drm, v2
zwp_linux_dmabuf_v1, v5
wl_output, v4
